,标识符,机型,始发地,出发,到达
1878,CES5324,B738,Changsha Huanghua Int'l (CSX / ZGHA),Sat 11:02AM CST,Sat 12:25PM CST
1879,CES5406,A320,Chengdu Shuangliu Int'l (CTU / ZUUU),Sat 10:12AM CST,Sat 12:24PM CST
1880,CXA8541,B738,Fuzhou Changle Int'l (FOC / ZSFZ),Sat 11:15AM CST,Sat 12:19PM CST
1881,CES5396,B732,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Sat 11:04AM CST,Sat 12:17PM CST
1882,CSH9234,737,Qingdao Liuting Int'l (TAO / ZSQD),Sat 11:03AM CST,Sat 12:15PM CST
1883,CCA1531,A333,Beijing Capital Int'l (PEK / ZBAA),Sat 10:34AM CST,Sat 12:13PM CST
1884,CSN3531,B77W,Guangzhou Baiyun Int'l (CAN / ZGGG),Sat 10:31AM CST,Sat 12:10PM CST
1885,DKH1124,A321,Changsha Huanghua Int'l (CSX / ZGHA),Sat 10:46AM CST,Sat 12:07PM CST
1886,CSH9264,737,Xiamen Gaoqi Int'l (XMN / ZSAM),Sat 10:42AM CST,Sat 12:05PM CST
1887,CSH9304,B789,Guangzhou Baiyun Int'l (CAN / ZGGG),Sat 10:20AM CST,Sat 12:01PM CST
1888,CES5106,A333,Beijing Capital Int'l (PEK / ZBAA),Sat 10:13AM CST,Sat 12:00PM CST
1889,CES5803,B732,Kunming Changshui Int'l (KMG / ZPPP),Sat 09:20AM CST,Sat 11:58AM CST
1890,DKH1132,A320,Taiyuan Wusu (TYN / ZBYN),Sat 10:13AM CST,Sat 11:55AM CST
1891,UEA6671,AJ27,Yueyang Sanhe Airport (YYA / ZGYY),Sat 10:14AM CST,Sat 11:51AM CST
1892,CES2153,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Sat 10:07AM CST,Sat 11:48AM CST
1893,CQH8816,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Sat 10:20AM CST,Sat 11:45AM CST
1894,CCA1519,B773,Beijing Capital Int'l (PEK / ZBAA),Sat 10:00AM CST,Sat 11:44AM CST
1895,CES5334,A332,Shenzhen Bao'an Int'l (SZX / ZGSZ),Sat 09:59AM CST,Sat 11:39AM CST
1896,CES5404,A332,Chengdu Shuangliu Int'l (CTU / ZUUU),Sat 09:32AM CST,Sat 11:38AM CST
1897,CQH8958,A320,Jieyang Chaoshan International Airport (SWA / ZGOW),Sat 10:06AM CST,Sat 11:37AM CST
1898,CES2507,B738,Wuhan Tianhe (WUH / ZHHH),Sat 10:33AM CST,Sat 11:35AM CST
