,标识符,机型,始发地,出发,到达
19,CSH875,B738,Shanghai Pudong Int'l (PVG / ZSPD),Wed 10:34AM CST,Wed 01:03PM CST
20,CQH8875,A320,Shanghai Pudong Int'l (PVG / ZSPD),Wed 09:08AM CST,Wed 11:24AM CST
21,AMU9,A321,Beijing Capital Int'l (PEK / ZBAA),Tue 08:27PM CST,Tue 11:44PM CST
22,AMU131,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Tue 08:55PM CST,Tue 09:55PM CST
23,SJX205,A21N,Taiwan Taoyuan Int'l (TPE / RCTP),Tue 06:40PM CST,Tue 08:04PM CST
24,AMU135,A321,Shanghai Pudong Int'l (PVG / ZSPD),Tue 05:31PM CST,Tue 07:51PM CST
25,AMU1,A321,Beijing Capital Int'l (PEK / ZBAA),Tue 04:25PM CST,Tue 07:46PM CST
26,AMU127,A321,Nanjing Lukou Int'l (NKG / ZSNJ),Tue 05:01PM CST,Tue 07:05PM CST
27,AMU257,A320,Wenzhou Int'l (WNZ / ZSWZ),Tue 05:08PM CST,Tue 06:52PM CST
28,AMU161,A320,Ningbo Lishe Int'l (NGB / ZSNB),Tue 04:04PM CST,Tue 05:59PM CST
29,AMU225,A321,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Tue 03:59PM CST,Tue 05:51PM CST
30,AMU109,A321,Shanghai Pudong Int'l (PVG / ZSPD),Tue 02:59PM CST,Tue 05:17PM CST
31,CXA8659,B738,Quanzhou Jinjiang (JJN / ZSQZ),Tue 03:40PM CST,Tue 04:50PM CST
32,CXA841,B738,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Tue 01:43PM CST,Tue 03:34PM CST
33,CES2007,A321,Shanghai Pudong Int'l (PVG / ZSPD),Tue 12:55PM CST,Tue 03:13PM CST
34,SJX203,A21N,Taiwan Taoyuan Int'l (TPE / RCTP),Tue 01:12PM CST,Tue 02:42PM CST
35,SJX203,A21N,Taiwan Taoyuan Int'l (TPE / RCTP),Tue 01:12PM CST,Tue 02:42PM CST
36,QTR8915,B772,Noi Bai Int'l (HAN / VVNB),Tue 10:19AM +07,Tue 12:42PM CST
37,CSH875,B738,Shanghai Pudong Int'l (PVG / ZSPD),Tue 10:11AM CST,Tue 12:31PM CST
38,AMU9,A321,Beijing Capital Int'l (PEK / ZBAA),Mon 08:24PM CST,Mon 11:34PM CST
39,AMU15,A320,Taiyuan Wusu (TYN / ZBYN),Mon 07:58PM CST,Mon 10:43PM CST
40,AMU131,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Mon 08:33PM CST,Mon 09:37PM CST
41,AMU1,A321,Beijing Capital Int'l (PEK / ZBAA),Mon 05:45PM CST,Mon 09:04PM CST
42,AMU107,A320,Changzhou Benniu (CZX / ZSCG),Mon 06:01PM CST,Mon 08:22PM CST
43,SJX205,A21N,Taiwan Taoyuan Int'l (TPE / RCTP),Mon 06:44PM CST,Mon 08:14PM CST
44,AMU135,A321,Shanghai Pudong Int'l (PVG / ZSPD),Mon 05:16PM CST,Mon 07:40PM CST
45,AMU127,A321,Nanjing Lukou Int'l (NKG / ZSNJ),Mon 04:46PM CST,Mon 06:56PM CST
46,AMU161,A320,Ningbo Lishe Int'l (NGB / ZSNB),Mon 04:02PM CST,Mon 06:04PM CST
47,AMU225,A321,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Mon 03:52PM CST,Mon 05:52PM CST
48,AMU109,A321,Shanghai Pudong Int'l (PVG / ZSPD),Mon 03:16PM CST,Mon 05:43PM CST
49,CES2007,A321,Shanghai Pudong Int'l (PVG / ZSPD),Mon 01:06PM CST,Mon 03:31PM CST
50,SJX203,A21N,Taiwan Taoyuan Int'l (TPE / RCTP),Mon 01:05PM CST,Mon 02:31PM CST
51,CSH875,B738,Shanghai Pudong Int'l (PVG / ZSPD),Mon 10:32AM CST,Mon 12:50PM CST
52,CSH875,B738,Shanghai Pudong Int'l (PVG / ZSPD),Mon 10:32AM CST,Mon 12:50PM CST
